"No.","Time","Source","Destination","Protocol","Length","Info"
"33","27.359094","192.168.56.102","192.168.56.101","TCP","218","60836  >  830 [PSH, ACK] Seq=615 Ack=1018 Win=31232 Len=152 TSval=2268475 TSecr=2269417"
"34","27.359108","192.168.56.101","192.168.56.102","TCP","66","830  >  60836 [ACK] Seq=1018 Ack=767 Win=31360 Len=0 TSval=2269417 TSecr=2268475"
"35","27.362610","192.168.56.101","192.168.56.102","TCP","442","830  >  60836 [PSH, ACK] Seq=1018 Ack=767 Win=31360 Len=376 TSval=2269418 TSecr=2268475"
"36","27.385313","192.168.56.102","192.168.56.101","TCP","82","60836  >  830 [PSH, ACK] Seq=767 Ack=1394 Win=33280 Len=16 TSval=2268481 TSecr=2269418"
"37","27.421959","192.168.56.101","192.168.56.102","TCP","66","830  >  60836 [ACK] Seq=1394 Ack=783 Win=31360 Len=0 TSval=2269433 TSecr=2268481"
"38","27.442425","192.168.56.102","192.168.56.101","TCP","134","60836  >  830 [PSH, ACK] Seq=783 Ack=1394 Win=33280 Len=68 TSval=2268496 TSecr=2269433"
"39","27.442441","192.168.56.101","192.168.56.102","TCP","66","830  >  60836 [ACK] Seq=1394 Ack=851 Win=31360 Len=0 TSval=2269438 TSecr=2268496"
"40","27.442583","192.168.56.101","192.168.56.102","TCP","118","830  >  60836 [PSH, ACK] Seq=1394 Ack=851 Win=31360 Len=52 TSval=2269438 TSecr=2268496"
"41","27.442767","192.168.56.102","192.168.56.101","TCP","150","60836  >  830 [PSH, ACK] Seq=851 Ack=1394 Win=33280 Len=84 TSval=2268496 TSecr=2269438"
"42","27.481785","192.168.56.102","192.168.56.101","TCP","66","60836  >  830 [ACK] Seq=935 Ack=1446 Win=33280 Len=0 TSval=2268506 TSecr=2269438"
"43","27.481808","192.168.56.101","192.168.56.102","TCP","134","830  >  60836 [PSH, ACK] Seq=1446 Ack=935 Win=31360 Len=68 TSval=2269448 TSecr=2268496"
"44","27.482412","192.168.56.102","192.168.56.101","TCP","66","60836  >  830 [ACK] Seq=935 Ack=1514 Win=33280 Len=0 TSval=2268506 TSecr=2269448"
"45","27.547378","192.168.56.102","192.168.56.101","TCP","326","60836  >  830 [PSH, ACK] Seq=935 Ack=1514 Win=33280 Len=260 TSval=2268522 TSecr=2269448"
"46","27.547970","192.168.56.101","192.168.56.102","TCP","134","830  >  60836 [PSH, ACK] Seq=1514 Ack=1195 Win=32512 Len=68 TSval=2269464 TSecr=2268522"
"47","27.548283","192.168.56.102","192.168.56.101","TCP","66","60836  >  830 [ACK] Seq=1195 Ack=1582 Win=33280 Len=0 TSval=2268522 TSecr=2269464"
"48","27.550516","192.168.56.102","192.168.56.101","TCP","166","60836  >  830 [PSH, ACK] Seq=1195 Ack=1582 Win=33280 Len=100 TSval=2268523 TSecr=2269464"
"49","27.557616","192.168.56.101","192.168.56.102","TCP","102","830  >  60836 [PSH, ACK] Seq=1582 Ack=1295 Win=32512 Len=36 TSval=2269466 TSecr=2268523"
"50","27.579547","192.168.56.102","192.168.56.101","TCP","134","60836  >  830 [PSH, ACK] Seq=1295 Ack=1618 Win=33280 Len=68 TSval=2268530 TSecr=2269466"
"51","27.617776","192.168.56.101","192.168.56.102","TCP","66","830  >  60836 [ACK] Seq=1618 Ack=1363 Win=32512 Len=0 TSval=2269482 TSecr=2268530"
"52","27.639370","192.168.56.101","192.168.56.102","TCP","1014","830  >  60836 [PSH, ACK] Seq=1618 Ack=1363 Win=32512 Len=948 TSval=2269487 TSecr=2268530"
"53","27.682175","192.168.56.102","192.168.56.101","TCP","66","60836  >  830 [ACK] Seq=1363 Ack=2566 Win=35328 Len=0 TSval=2268556 TSecr=2269487"
"54","27.682275","192.168.56.101","192.168.56.102","TCP","118","830  >  60836 [PSH, ACK] Seq=2566 Ack=1363 Win=32512 Len=52 TSval=2269498 TSecr=2268556"
"55","27.682725","192.168.56.102","192.168.56.101","TCP","66","60836  >  830 [ACK] Seq=1363 Ack=2618 Win=35328 Len=0 TSval=2268556 TSecr=2269498"
"56","27.683902","192.168.56.102","192.168.56.101","TCP","150","60836  >  830 [PSH, ACK] Seq=1363 Ack=2618 Win=35328 Len=84 TSval=2268556 TSecr=2269498"
"57","27.683946","192.168.56.101","192.168.56.102","TCP","66","830  >  60836 [ACK] Seq=2618 Ack=1447 Win=32512 Len=0 TSval=2269498 TSecr=2268556"
